Module                  Size  Used by
bluetooth            1032192  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
spi_intel              36864  1 spi_intel_pci
mei_me                 53248  2
processor_thermal_rapl    16384  1 processor_thermal_device
i2c_smbus              20480  1 i2c_i801
i2c_mux                12288  1 i2c_i801
cfg80211             1462272  3 iwlmvm,iwlwifi,mac80211
soundcore              16384  2 snd_ctl_led,snd
drm_display_helper    290816  1 i915
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_wt_req    12288  1 processor_thermal_device
cec                    98304  2 drm_display_helper,i915
processor_thermal_power_floor    12288  1 processor_thermal_device
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
rc_core                73728  1 cec
i2c_algo_bit           16384  1 i915
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
intel_pch_thermal      16384  0
ideapad_laptop         53248  0
sparse_keymap          12288  1 ideapad_laptop
platform_profile       20480  2 ideapad_laptop,processor_thermal_soc_slider
intel_pmc_core        135168  0
int3403_thermal        16384  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
pmt_telemetry          16384  1 intel_pmc_core
pmt_discovery          20480  1 pmt_telemetry
pmt_class              20480  2 pmt_telemetry,pmt_discovery
int3400_thermal        24576  0
input_leds             12288  0
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
acpi_thermal_rel       24576  1 int3400_thermal
acpi_pad              184320  0
acpi_tad               20480  0
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
joydev                 32768  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
hid_multitouch         36864  0
hid_generic            12288  0
nvme                   61440  2
8250_dw                20480  0
nvme_core             233472  3 nvme
i2c_hid_acpi           12288  0
nvme_keyring           20480  1 nvme_core
i2c_hid                40960  1 i2c_hid_acpi
intel_lpss_pci         28672  0
ahci                   49152  0
video                  77824  2 ideapad_laptop,i915
intel_lpss             12288  1 intel_lpss_pci
nvme_auth              28672  1 nvme_core
libahci                53248  1 ahci
hid                   262144  7 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic,hid_logitech_dj,hid_logitech_hidpp
idma64                 20480  0
pinctrl_cannonlake     36864  0
wmi                    28672  5 video,intel_wmi_thunderbolt,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
